No_mbtree,No_asm,No_cabac,No_scenecut,Aq_strength,Bframes,Qcomp,Qp,Ref,Rc_lookahead,B_bias,Threads,Keyint,Crf,Scenecut,Seek,Ipratio,PSNR-,Energy-
1,0,0,0,1.5,5,1,40,9,1,100,105,333,36.8,1,0,0.3,39.544,743.8571944
0,0,0,0,1.5,5,1,40,9,1,100,105,333,36.8,1,0,0.3,39.544,757.277463
0,0,0,0,0,25,1,51,8,85,100,21,665,10,49,0,0.9,55.23,1709.294431
0,0,1,0,0,25,1,51,8,85,100,21,665,10,49,0,0.9,55.188,1742.779256
0,0,0,1,0,25,1,51,8,85,100,21,665,10,49,0,0.9,55.23,1724.80123
0,0,0,1,0.9,13,0,32,10,211,100,42,1,16.7,65,0,2,45.06,360.9506548
0,1,0,0,0.9,13,0,32,10,211,100,42,1,16.7,65,0,2,45.054,960.1319298
1,0,0,0,0,25,1,51,8,85,100,21,665,10,49,0,0.9,55.23,1716.760383
0,0,0,0,1.5,25,0.4,24,10,169,32,0,499,36.8,100,0,0,27.671,789.7278431
0,0,1,0,1.5,25,0.4,24,10,169,32,0,499,36.8,100,0,0,27.659,758.6401838
0,0,0,1,1.5,25,0.4,24,10,169,32,0,499,36.8,100,0,0,27.671,794.2155392
0,1,0,0,1.5,25,0.4,24,10,169,32,0,499,36.8,100,0,0,27.67,2377.807898
0,1,0,0,0,25,1,51,8,85,100,21,665,10,49,0,0.9,55.233,5335.097523
1,0,0,0,1.5,25,0.4,24,10,169,32,0,499,36.8,100,0,0,29.487,816.0683088
1,0,0,0,2,17,0.6,51,10,1,-1,128,167,23.4,1,0,1.2,48.12,1464.376613
0,0,0,0,2,17,0.6,51,10,1,-1,128,167,23.4,1,0,1.2,46.609,1198.51249
0,1,0,0,1.2,1,1,51,6,127,32,42,333,50,17,0,2,31.137,1314.508149
0,0,0,1,1.2,1,1,51,6,127,32,42,333,50,17,0,2,31.233,415.9196759
0,0,0,0,0.9,13,0,32,10,211,100,42,1,16.7,65,0,2,45.06,357.8878968
1,0,0,0,0.9,13,0,32,10,211,100,42,1,16.7,65,0,2,45.06,350.3982738
0,0,1,0,0.9,13,0,32,10,211,100,42,1,16.7,65,0,2,45.081,372.3795833
0,0,0,1,2,17,0.6,51,10,1,-1,128,167,23.4,1,0,1.2,46.609,1189.007723
0,0,1,0,2,17,0.6,51,10,1,-1,128,167,23.4,1,0,1.2,46.514,1194.166787
0,1,0,0,2,17,0.6,51,10,1,-1,128,167,23.4,1,0,1.2,46.611,3731.078184
1,0,0,0,1.5,1,0.8,32,4,85,65,128,1000,36.8,49,0,1.2,40.306,512.6665758
0,0,0,0,1.5,1,0.8,32,4,85,65,128,1000,36.8,49,0,1.2,39.235,537.8191919
0,1,0,0,1.2,13,1,16,9,169,-100,128,665,50,100,0,1.2,30.775,1742.16016
0,0,1,0,1.2,13,1,16,9,169,-100,128,665,50,100,0,1.2,30.86,491.1147576
0,0,0,1,1.2,13,1,16,9,169,-100,128,665,50,100,0,1.2,30.816,572.1711111
0,0,0,0,1.2,13,1,16,9,169,-100,128,665,50,100,0,1.2,30.816,572.3633398
0,0,0,0,1.2,21,0.4,32,8,1,-34,84,499,50,1,0,1.5,29.206,553.4038721
1,0,0,0,1.2,21,0.4,32,8,1,-34,84,499,50,1,0,1.5,33.1,530.8476515
0,0,0,1,1.5,1,0.8,32,4,85,65,128,1000,36.8,49,0,1.2,39.235,533.1351515
0,1,0,0,1.5,1,0.8,32,4,85,65,128,1000,36.8,49,0,1.2,39.316,1758.370272
0,0,1,0,1.5,1,0.8,32,4,85,65,128,1000,36.8,49,0,1.2,38.933,544.4914394
0,0,0,0,1.2,25,0.8,40,0,211,-1,63,1000,50,65,0,0.6,29.756,565.2723321
0,1,0,0,0.6,17,0.8,0,6,169,100,84,1000,30.1,100,0,1.5,43.417,2509.999381
0,0,0,1,0.6,17,0.8,0,6,169,100,84,1000,30.1,100,0,1.5,43.426,765.7726528
0,0,1,0,0.6,17,0.8,0,6,169,100,84,1000,30.1,100,0,1.5,43.298,759.2045278
0,0,0,0,0.6,17,0.8,0,6,169,100,84,1000,30.1,100,0,1.5,43.426,762.1467037
1,0,0,0,0.6,17,0.8,0,6,169,100,84,1000,30.1,100,0,1.5,43.865,740.5502222
1,0,0,0,1.2,13,1,16,9,169,-100,128,665,50,100,0,1.2,30.816,574.1083333
0,1,0,0,1.2,25,0.8,40,0,211,-1,63,1000,50,65,0,0.6,29.765,1326.860357
0,0,0,1,1.2,25,0.8,40,0,211,-1,63,1000,50,65,0,0.6,29.756,565.1138462
0,0,1,0,1.2,25,0.8,40,0,211,-1,63,1000,50,65,0,0.6,30.153,558.6369231
1,0,0,0,1.2,25,0.8,40,0,211,-1,63,1000,50,65,0,0.6,31.007,308.6771429
0,0,0,0,0,17,0.2,32,9,250,32,63,831,10,33,0,0.6,51.945,1342.751887
1,0,0,0,0,17,0.2,32,9,250,32,63,831,10,33,0,0.6,55.463,1966.925673
0,0,0,1,0.6,9,0,40,8,43,32,128,1,30.1,81,0,1.2,36.512,265.1916667
0,1,0,0,0.6,9,0,40,8,43,32,128,1,30.1,81,0,1.2,36.437,799.3051593
0,0,1,0,0,17,0.2,32,9,250,32,63,831,10,33,0,0.6,51.853,1327.264174
0,0,0,1,0,17,0.2,32,9,250,32,63,831,10,33,0,0.6,51.945,1339.703941
0,1,0,0,1.2,21,0.4,32,8,1,-34,84,499,50,1,0,1.5,29.31,1679.915739
0,0,0,0,0.6,9,0,40,8,43,32,128,1,30.1,81,0,1.2,36.512,269.2007937
0,0,1,0,1.2,21,0.4,32,8,1,-34,84,499,50,1,0,1.5,29.359,475.2166667
0,0,0,1,1.2,21,0.4,32,8,1,-34,84,499,50,1,0,1.5,29.206,563.7123485
0,0,1,0,0.6,9,0,40,8,43,32,128,1,30.1,81,0,1.2,36.74,276.975873
1,0,0,0,0.6,9,0,40,8,43,32,128,1,30.1,81,0,1.2,36.512,266.0472222
0,0,0,0,2,21,1,0,4,211,32,105,665,23.4,65,0,0.3,47.645,741.8772169
1,0,0,0,2,21,1,0,4,211,32,105,665,23.4,65,0,0.3,47.645,735.1077302
0,0,0,0,1.5,17,1,8,0,43,-34,42,665,36.8,81,0,2,39.899,401.1340432
0,1,0,0,2,21,1,0,4,211,32,105,665,23.4,65,0,0.3,47.647,2578.331216
0,0,0,1,2,21,1,0,4,211,32,105,665,23.4,65,0,0.3,47.645,739.227127
0,0,1,0,2,21,1,0,4,211,32,105,665,23.4,65,0,0.3,47.545,727.9006825
0,0,0,0,0.3,17,1,16,8,211,65,0,333,43.5,65,0,0,27.597,541.805101
1,0,0,0,0.3,17,1,16,8,211,65,0,333,43.5,65,0,0,27.597,526.1930808
0,1,0,0,0,17,0.2,32,9,250,32,63,831,10,33,0,0.6,51.945,4681.544084
0,1,0,0,0.3,17,1,16,8,211,65,0,333,43.5,65,0,0,27.596,1678.61596
0,0,0,1,0.3,17,1,16,8,211,65,0,333,43.5,65,0,0,27.597,534.3881313
0,0,1,0,0.3,17,1,16,8,211,65,0,333,43.5,65,0,0,27.614,511.002
1,0,0,0,1.5,17,1,8,0,43,-34,42,665,36.8,81,0,2,39.899,390.3638426
0,0,1,0,1.5,17,1,8,0,43,-34,42,665,36.8,81,0,2,39.752,416.5150926
0,0,0,1,1.5,17,1,8,0,43,-34,42,665,36.8,81,0,2,39.899,379.8213889
0,1,0,0,1.5,17,1,8,0,43,-34,42,665,36.8,81,0,2,39.928,1368.202911
0,0,1,0,1.2,1,1,51,6,127,32,42,333,50,17,0,2,31.206,370.0747222
0,0,0,0,1.2,1,1,51,6,127,32,42,333,50,17,0,2,31.233,405.0681481
0,0,0,0,0.3,5,0,51,4,169,-34,63,1,43.5,100,0,0.6,29.914,241.1675556
1,0,0,0,0.3,5,0,51,4,169,-34,63,1,43.5,100,0,0.6,29.914,230.5201111
0,0,1,0,0.3,5,0,51,4,169,-34,63,1,43.5,100,0,0.6,30.871,254.566
0,0,0,1,0.3,5,0,51,4,169,-34,63,1,43.5,100,0,0.6,29.914,229.3234444
0,1,0,0,0.3,5,0,51,4,169,-34,63,1,43.5,100,0,0.6,29.774,719.1916349
0,0,0,0,0,9,0.8,16,10,127,-34,105,1000,10,17,0,0.3,54.844,2274.833833
1,0,0,0,0,9,0.8,16,10,127,-34,105,1000,10,17,0,0.3,55.878,2300.150456
0,0,1,0,0,9,0.8,16,10,127,-34,105,1000,10,17,0,0.3,54.794,2305.024096
0,0,0,1,0,9,0.8,16,10,127,-34,105,1000,10,17,0,0.3,54.844,2280.434887
0,0,0,0,2,9,1,32,0,169,-67,21,333,23.4,100,0,0.9,48.056,572.7633838
0,0,1,0,2,9,1,32,0,169,-67,21,333,23.4,100,0,0.9,47.981,564.8961111
1,0,0,0,2,9,1,32,0,169,-67,21,333,23.4,100,0,0.9,48.056,578.8780556
0,0,0,0,2,5,0.8,24,8,250,-100,42,1000,23.4,33,0,2,47.425,1281.125993
1,0,0,0,2,5,0.8,24,8,250,-100,42,1000,23.4,33,0,2,48.424,1264.7392
0,0,0,1,2,9,1,32,0,169,-67,21,333,23.4,100,0,0.9,48.056,563.0985101
0,1,0,0,2,9,1,32,0,169,-67,21,333,23.4,100,0,0.9,48.057,1963.037323
0,0,1,0,2,5,0.8,24,8,250,-100,42,1000,23.4,33,0,2,47.363,1288.391215
0,0,0,1,2,5,0.8,24,8,250,-100,42,1000,23.4,33,0,2,47.425,1271.902267
1,0,0,0,1.2,1,1,51,6,127,32,42,333,50,17,0,2,31.233,404.2127315
0,1,0,0,2,5,0.8,24,8,250,-100,42,1000,23.4,33,0,2,47.427,3918.078622
0,0,0,0,1.2,9,0.6,8,4,250,100,0,167,50,33,0,0,26.162,524.2430342
1,0,0,0,1.2,9,0.6,8,4,250,100,0,167,50,33,0,0,26.516,359.2925
0,1,0,0,0,9,0.8,16,10,127,-34,105,1000,10,17,0,0.3,54.844,6821.626419
0,1,0,0,1.2,9,0.6,8,4,250,100,0,167,50,33,0,0,26.148,1782.92075
0,0,0,1,1.2,9,0.6,8,4,250,100,0,167,50,33,0,0,26.162,557.1071795
0,0,1,0,1.2,9,0.6,8,4,250,100,0,167,50,33,0,0,26.232,519.1877778
0,0,0,0,0.9,25,1,0,2,250,-34,128,333,16.7,33,0,1.2,51.63,874.8842629
1,0,0,0,0.9,25,1,0,2,250,-34,128,333,16.7,33,0,1.2,51.63,881.0970479
0,1,0,0,0.9,25,1,0,2,250,-34,128,333,16.7,33,0,1.2,51.63,3045.627981
0,0,0,1,0.9,25,1,0,2,250,-34,128,333,16.7,33,0,1.2,51.63,874.7131264
0,0,1,0,0.9,25,1,0,2,250,-34,128,333,16.7,33,0,1.2,51.597,863.3202614
1,0,1,0,2,1,0.4,16,2,43,100,63,499,23.4,81,0,0.6,48.142,692.9
1,0,0,1,2,1,0.4,16,2,43,100,63,499,23.4,81,0,0.6,48.191,676.9893162
0,0,1,1,2,1,0.4,16,2,43,100,63,499,23.4,81,0,0.6,45.777,563.8659933
1,1,0,0,2,1,0.4,16,2,43,100,63,499,23.4,81,0,0.6,48.186,2439.141844
1,0,1,0,0.6,25,0.2,16,4,1,-67,42,831,30.1,1,0,2,44.967,795.2291667
0,1,1,0,2,1,0.4,16,2,43,100,63,499,23.4,81,0,0.6,45.772,1939.623637
0,1,0,1,2,1,0.4,16,2,43,100,63,499,23.4,81,0,0.6,45.864,1974.986895
0,1,0,1,0.6,25,0.2,16,4,1,-67,42,831,30.1,1,0,2,40.256,2018.124786
0,1,1,0,0.6,25,0.2,16,4,1,-67,42,831,30.1,1,0,2,40.248,1926.801818
1,1,0,0,0.6,25,0.2,16,4,1,-67,42,831,30.1,1,0,2,45.033,2738.626758
0,0,1,1,0.6,25,0.2,16,4,1,-67,42,831,30.1,1,0,2,40.343,579.7
1,0,0,1,0.6,25,0.2,16,4,1,-67,42,831,30.1,1,0,2,45.031,794.3645833
1,1,0,0,0.6,13,0.4,51,0,250,65,105,499,30.1,33,0,0.3,43.5,1594.408602
0,0,1,1,0.6,13,0.4,51,0,250,65,105,499,30.1,33,0,0.3,41.322,634.0285714
0,1,0,1,0.6,13,0.4,51,0,250,65,105,499,30.1,33,0,0.3,41.336,1654.947138
0,1,1,0,0.6,13,0.4,51,0,250,65,105,499,30.1,33,0,0.3,41.329,1584.376484
0,1,1,0,0.6,21,1,8,10,85,-100,63,333,30.1,49,0,0.6,43.54,3311.507895
1,1,0,0,0.6,21,1,8,10,85,-100,63,333,30.1,49,0,0.6,43.622,3341.13692
0,1,0,1,0.6,21,1,8,10,85,-100,63,333,30.1,49,0,0.6,43.622,3366.883015
1,0,1,0,0.6,21,1,8,10,85,-100,63,333,30.1,49,0,0.6,43.548,1082.594372
0,0,1,1,0.6,21,1,8,10,85,-100,63,333,30.1,49,0,0.6,43.548,1062.586075
1,0,0,1,0.6,21,1,8,10,85,-100,63,333,30.1,49,0,0.6,43.624,1065.032804
0,0,1,1,0,13,1,24,4,43,-1,84,333,10,81,0,1.5,55.408,1205.482951
0,1,0,1,0,13,1,24,4,43,-1,84,333,10,81,0,1.5,55.465,3941.185185
0,1,1,0,0,13,1,24,4,43,-1,84,333,10,81,0,1.5,55.409,4004.531345
1,1,0,0,0,13,1,24,4,43,-1,84,333,10,81,0,1.5,55.465,3950.049817
1,1,0,0,2,13,0.2,40,6,85,-34,0,831,23.4,49,0,0,42.774,3905.248593
0,0,1,1,2,13,0.2,40,6,85,-34,0,831,23.4,49,0,0,28.485,864.0200799
1,0,0,1,2,13,0.2,40,6,85,-34,0,831,23.4,49,0,0,42.839,1159.314976
1,0,1,0,2,13,0.2,40,6,85,-34,0,831,23.4,49,0,0,43.829,1172.594283
0,1,0,1,2,13,0.2,40,6,85,-34,0,831,23.4,49,0,0,28.487,2796.066824
0,1,1,0,2,13,0.2,40,6,85,-34,0,831,23.4,49,0,0,28.485,2730.044549
1,0,1,0,0.3,9,0.4,0,9,85,-1,42,499,43.5,49,0,2,36.91,592.8738604
1,1,0,0,0.3,9,0.4,0,9,85,-1,42,499,43.5,49,0,2,37.145,1848.100811
0,1,1,0,0.3,9,0.4,0,9,85,-1,42,499,43.5,49,0,2,33.518,1473.454406
1,0,0,1,0.3,9,0.4,0,9,85,-1,42,499,43.5,49,0,2,37.162,592.1501425
0,0,1,1,0.3,9,0.4,0,9,85,-1,42,499,43.5,49,0,2,33.508,517.010101
0,1,0,1,0.3,9,0.4,0,9,85,-1,42,499,43.5,49,0,2,33.382,1579.849462
1,0,1,0,0.6,13,0.4,51,0,250,65,105,499,30.1,33,0,0.3,43.402,472.22
1,0,0,1,0.6,13,0.4,51,0,250,65,105,499,30.1,33,0,0.3,43.51,471.67
0,1,0,1,0.6,1,0.6,24,9,211,-34,21,167,30.1,65,0,0.9,42.605,2869.865079
0,1,1,0,0.6,1,0.6,24,9,211,-34,21,167,30.1,65,0,0.9,42.548,2807.136996
1,0,1,0,0.9,9,1,24,6,1,65,63,665,16.7,1,0,0.6,51.331,1164.384541
0,0,1,1,0.9,9,1,24,6,1,65,63,665,16.7,1,0,0.6,51.331,1160.983575
1,0,0,1,0.9,9,1,24,6,1,65,63,665,16.7,1,0,0.6,51.391,1198.383273
0,1,1,0,0.9,9,1,24,6,1,65,63,665,16.7,1,0,0.6,51.33,3884.312462
1,1,0,0,0.9,9,1,24,6,1,65,63,665,16.7,1,0,0.6,51.388,3973.231031
0,1,0,1,0.9,9,1,24,6,1,65,63,665,16.7,1,0,0.6,51.388,3955.542185
1,0,1,0,1.5,21,0,16,6,250,-1,21,1,36.8,33,0,0.9,33.71,249.7614815
1,0,0,1,1.5,21,0,16,6,250,-1,21,1,36.8,33,0,0.9,33.455,230.6496296
0,0,1,1,1.5,21,0,16,6,250,-1,21,1,36.8,33,0,0.9,33.71,263.9537037
1,1,0,0,1.5,21,0,16,6,250,-1,21,1,36.8,33,0,0.9,33.453,736.0681481
0,1,1,0,1.5,21,0,16,6,250,-1,21,1,36.8,33,0,0.9,33.692,699.9603704
0,1,0,1,1.5,21,0,16,6,250,-1,21,1,36.8,33,0,0.9,33.453,734.4088889
1,0,1,0,0,13,1,24,4,43,-1,84,333,10,81,0,1.5,55.408,1199.383072
1,0,0,1,0,13,1,24,4,43,-1,84,333,10,81,0,1.5,55.465,1155.350725
1,1,0,0,0.6,1,0.6,24,9,211,-34,21,167,30.1,65,0,0.9,44.61,3330.858617
0,0,1,1,0.6,1,0.6,24,9,211,-34,21,167,30.1,65,0,0.9,42.556,933.8315789
1,0,0,1,0.6,1,0.6,24,9,211,-34,21,167,30.1,65,0,0.9,44.613,1032.363704
1,0,1,0,0.6,1,0.6,24,9,211,-34,21,167,30.1,65,0,0.9,44.546,1030.753757
0,1,0,1,0.9,17,0.4,40,4,127,-100,21,499,16.7,17,0,0.9,49.763,3257.06034
0,1,1,0,0.9,17,0.4,40,4,127,-100,21,499,16.7,17,0,0.9,49.687,3231.260511
1,1,0,0,0.9,17,0.4,40,4,127,-100,21,499,16.7,17,0,0.9,52.748,4227.875005
0,0,1,1,0.9,17,0.4,40,4,127,-100,21,499,16.7,17,0,0.9,49.689,965.4502339
1,0,0,1,0.9,17,0.4,40,4,127,-100,21,499,16.7,17,0,0.9,52.748,1205.260044
1,0,1,0,0.9,17,0.4,40,4,127,-100,21,499,16.7,17,0,0.9,52.716,1225.623148
1,1,0,0,0,5,0.4,8,6,211,-67,128,499,10,65,0,1.2,56.993,5413.606822
0,1,1,0,0,5,0.4,8,6,211,-67,128,499,10,65,0,1.2,53.404,4706.888632
0,1,0,1,0,5,0.4,8,6,211,-67,128,499,10,65,0,1.2,53.464,4792.683779
1,0,1,0,0,5,0.4,8,6,211,-67,128,499,10,65,0,1.2,56.903,1779.659328
1,0,0,1,0,5,0.4,8,6,211,-67,128,499,10,65,0,1.2,56.993,1718.484581
0,0,1,1,0,5,0.4,8,6,211,-67,128,499,10,65,0,1.2,53.404,1504.040119
0,0,1,1,1.5,13,0.6,0,8,127,-67,63,167,36.8,17,0,0.6,37.805,729.5659259
1,0,0,1,1.5,13,0.6,0,8,127,-67,63,167,36.8,17,0,0.6,40.659,787.6979167
0,1,1,0,1.5,13,0.6,0,8,127,-67,63,167,36.8,17,0,0.6,37.788,2145.628688
1,1,0,0,1.5,13,0.6,0,8,127,-67,63,167,36.8,17,0,0.6,40.659,2470.011791
1,0,1,0,1.5,13,0.6,0,8,127,-67,63,167,36.8,17,0,0.6,40.582,767.4994444
0,1,0,1,0.6,5,1,32,2,127,-1,0,665,30.1,17,0,0,29.404,1888.735135
0,1,1,0,0.6,5,1,32,2,127,-1,0,665,30.1,17,0,0,29.401,1860.072089
1,0,0,1,0.6,5,1,32,2,127,-1,0,665,30.1,17,0,0,29.405,529.2525253
1,0,1,0,0.6,5,1,32,2,127,-1,0,665,30.1,17,0,0,29.402,512.6436364
1,1,0,0,0.6,5,1,32,2,127,-1,0,665,30.1,17,0,0,29.404,1882.583784
0,0,1,1,0.6,5,1,32,2,127,-1,0,665,30.1,17,0,0,29.402,523.5757576
0,1,1,0,0.9,5,0.6,16,0,85,32,84,167,16.7,49,0,1.5,50.507,2097.420054
0,1,0,1,0.9,5,0.6,16,0,85,32,84,167,16.7,49,0,1.5,50.603,2091.338753
0,0,1,1,0.9,5,0.6,16,0,85,32,84,167,16.7,49,0,1.5,50.508,632.9025641
1,1,0,0,0.9,5,0.6,16,0,85,32,84,167,16.7,49,0,1.5,51.75,2347.124718
1,0,1,0,0.9,5,0.6,16,0,85,32,84,167,16.7,49,0,1.5,51.71,689.7738095
1,0,0,1,0.9,5,0.6,16,0,85,32,84,167,16.7,49,0,1.5,51.749,694.3960317
0,1,0,1,1.5,13,0.6,0,8,127,-67,63,167,36.8,17,0,0.6,37.784,2218.956589
1,0,0,1,1.2,17,0,24,2,85,-67,105,1,50,49,0,0.3,21.531,232.5951852
0,1,0,1,1.2,17,0,24,2,85,-67,105,1,50,49,0,0.3,21.509,738.0592593
0,1,1,0,1.2,17,0,24,2,85,-67,105,1,50,49,0,0.3,21.673,686.8230159
1,1,0,0,1.2,17,0,24,2,85,-67,105,1,50,49,0,0.3,21.509,738.6296296
0,0,1,1,1.2,17,0,24,2,85,-67,105,1,50,49,0,0.3,21.694,265.8148148
1,0,1,0,0.3,21,0.2,24,0,127,100,128,831,43.5,17,0,1.2,36.092,331.4553571
1,0,0,1,0.3,21,0.2,24,0,127,100,128,831,43.5,17,0,1.2,36.348,312.0857143
1,0,1,0,0.3,25,0.6,32,6,43,-100,105,167,43.5,81,0,0.3,36.443,546.8456229
0,0,1,1,0.3,25,0.6,32,6,43,-100,105,167,43.5,81,0,0.3,33.411,507.5962626
1,0,0,1,0.3,25,0.6,32,6,43,-100,105,167,43.5,81,0,0.3,36.54,524.6767677
0,1,1,0,0.3,25,0.6,32,6,43,-100,105,167,43.5,81,0,0.3,33.373,1590.021505
1,1,0,0,0.3,25,0.6,32,6,43,-100,105,167,43.5,81,0,0.3,36.535,1811.973333
0,1,0,1,0.3,25,0.6,32,6,43,-100,105,167,43.5,81,0,0.3,33.287,1698.973737
1,1,0,0,0.3,21,0.2,24,0,127,100,128,831,43.5,17,0,1.2,36.339,1078.597186
0,0,1,1,0.3,21,0.2,24,0,127,100,128,831,43.5,17,0,1.2,31.875,477.4141414
0,1,0,1,0.3,21,0.2,24,0,127,100,128,831,43.5,17,0,1.2,31.597,1230.692034
0,1,1,0,0.3,21,0.2,24,0,127,100,128,831,43.5,17,0,1.2,31.84,1193.173333
0,1,1,0,0.9,1,0.2,8,8,169,-1,105,831,16.7,100,0,0.3,48.743,3700.787167
0,1,0,1,0.9,1,0.2,8,8,169,-1,105,831,16.7,100,0,0.3,48.788,3771.264394
1,0,1,0,0.3,13,0.8,8,2,1,32,21,1000,43.5,1,0,0.9,35.659,368.6083333
0,0,1,1,0.9,1,0.2,8,8,169,-1,105,831,16.7,100,0,0.3,48.739,1218.810537
1,1,0,0,0.9,1,0.2,8,8,169,-1,105,831,16.7,100,0,0.3,52.2,5279.835
1,0,1,0,0.9,1,0.2,8,8,169,-1,105,831,16.7,100,0,0.3,52.171,1639.738542
1,0,0,1,0.9,1,0.2,8,8,169,-1,105,831,16.7,100,0,0.3,52.202,1641.030208
1,0,1,0,1.2,17,0,24,2,85,-67,105,1,50,49,0,0.3,21.694,235.6792593
0,1,1,0,0.3,13,0.8,8,2,1,32,21,1000,43.5,1,0,0.9,34.06,1211.908333
1,1,0,0,0.3,13,0.8,8,2,1,32,21,1000,43.5,1,0,0.9,35.808,1203.994243
0,0,1,1,0.3,13,0.8,8,2,1,32,21,1000,43.5,1,0,0.9,34.042,369.4638889
1,0,0,1,0.3,13,0.8,8,2,1,32,21,1000,43.5,1,0,0.9,35.818,368.1708333
0,1,0,1,0.3,13,0.8,8,2,1,32,21,1000,43.5,1,0,0.9,34.052,1209.171759
1,0,1,0,1.5,5,1,40,9,1,100,105,333,36.8,1,0,0.3,39.393,732.5007407
0,1,0,1,1.5,5,1,40,9,1,100,105,333,36.8,1,0,0.3,39.535,2349.686914
1,1,0,0,1.5,5,1,40,9,1,100,105,333,36.8,1,0,0.3,39.535,2338.268642
0,1,1,0,1.5,5,1,40,9,1,100,105,333,36.8,1,0,0.3,39.393,2283.430303
1,0,0,1,1.5,5,1,40,9,1,100,105,333,36.8,1,0,0.3,39.544,731.6503704
0,0,1,1,1.5,5,1,40,9,1,100,105,333,36.8,1,0,0.3,39.393,727.7925926
1,1,0,0,0,21,0.6,40,2,169,65,42,167,10,100,0,2,55.653,3502.038806
0,1,1,0,0,21,0.6,40,2,169,65,42,167,10,100,0,2,54.046,3465.952239
0,1,0,1,0,21,0.6,40,2,169,65,42,167,10,100,0,2,54.086,3421.090067
0,1,1,0,0.9,21,0.8,51,9,43,-67,0,1000,16.7,81,0,0,46.496,5167.767677
0,1,0,1,0.9,21,0.8,51,9,43,-67,0,1000,16.7,81,0,0,45.822,5231.787
1,0,1,0,0.9,21,0.8,51,9,43,-67,0,1000,16.7,81,0,0,48.002,1833.179012
